,subject_cluster_subject_cluster,vehicle_cluster_vehicle_cluster,location_cluster_location_cluster,officer_cluster_officer_cluster,action_cluster_action_cluster,date_cluster_date_cluster,occurrences,Cluster_kmeans
166,10,0,0,0,59,5,1,0
167,0,2,4,1,17,10,1,6
168,0,0,1,0,5,12,27,0
169,1,0,1,0,10,12,9,0
170,2,80,1,7,18,12,1,1
171,0,0,1,0,6,7,1,0
172,14,29,7,7,6,0,1,1
173,2,0,4,7,45,12,1,1
174,2,82,0,7,5,12,1,1
175,1,0,1,6,5,1,18,3
176,4,42,1,7,0,4,1,1
177,0,65,3,0,18,4,1,0
178,1,65,1,0,18,4,1,0
179,0,0,3,7,6,4,2,5
180,7,0,1,2,0,8,7,2
181,1,41,5,2,18,8,1,2
182,6,0,1,1,3,8,12,6
183,7,0,2,1,3,8,1,6
184,1,42,4,2,17,8,1,2
185,3,0,6,7,0,4,1,1
186,1,0,0,0,5,7,2,5
187,4,0,0,3,27,0,2,5
188,1,0,2,0,52,1,1,0
189,1,0,1,0,0,13,53,0
190,0,0,2,7,24,0,1,1
191,3,21,0,7,56,2,2,5
192,1,93,1,6,53,14,1,3
193,1,0,3,0,47,12,2,5
194,3,0,1,6,58,13,2,5
195,10,0,0,5,24,11,1,7
196,1,0,5,2,7,11,2,5
197,14,0,2,0,0,11,1,0
198,1,0,3,0,5,5,27,0
199,2,0,12,6,59,13,1,3
200,5,59,7,7,43,0,1,1
201,1,0,11,0,68,11,1,0
202,1,79,1,6,11,14,1,3
203,0,0,3,1,11,2,6,6
204,5,72,3,2,64,11,1,2
205,1,0,0,1,3,11,19,9
206,6,0,0,5,0,10,2,5
207,7,0,0,1,5,13,1,6
208,1,0,1,1,1,8,8,9
209,1,41,3,1,0,1,1,9
210,4,48,7,7,28,0,1,1
211,1,7,11,1,0,3,1,9
212,3,0,0,1,10,3,1,6
213,5,0,3,1,47,3,1,6
214,5,0,2,1,10,3,1,6
215,5,0,3,1,7,3,1,6
216,1,0,10,2,5,13,1,2
217,6,0,2,2,0,13,2,5
218,1,0,3,2,5,13,2,5
219,1,69,3,2,21,13,1,2
220,1,0,0,0,0,14,14,0
221,0,0,3,0,0,11,16,0
222,11,0,7,7,5,0,1,1
223,0,2,4,2,86,11,1,2
224,0,0,0,0,0,11,8,0
225,2,0,7,7,91,0,2,5
226,1,0,0,0,0,11,11,0
227,1,0,1,0,0,1,28,0
228,15,0,14,3,24,11,1,7
229,0,7,8,7,2,1,1,1
230,1,0,0,3,38,11,1,7
231,2,0,0,3,58,11,2,5
232,7,34,1,0,18,11,1,0
233,11,0,0,7,5,1,2,5
234,5,0,7,7,0,13,1,1
235,2,0,7,7,62,0,1,1
236,9,2,4,0,4,7,1,0
237,0,0,1,6,58,1,3,3
238,0,79,1,1,17,8,1,6
239,1,0,0,1,46,11,2,5
240,1,0,1,6,10,1,12,3
241,5,0,7,7,11,9,1,1
242,1,0,2,1,0,8,42,9
243,8,0,1,0,5,0,5,0
244,13,0,2,5,10,0,4,4
245,4,0,2,0,70,0,1,0
246,14,0,2,5,50,0,1,4
247,0,58,1,0,61,3,1,0
248,1,0,0,2,10,0,3,2
249,1,0,4,2,0,0,12,2
250,3,0,5,2,0,0,1,2
251,16,0,2,5,14,13,1,4
252,1,0,14,2,0,0,1,2
253,1,0,3,1,3,13,31,9
254,1,0,0,1,3,13,19,9
255,6,0,4,1,21,11,1,6
256,0,0,4,1,21,11,1,6
257,2,0,0,5,6,1,2,5
258,1,0,3,0,70,0,1,0
259,1,78,3,0,17,7,1,0
260,5,0,5,1,5,0,1,6
261,0,0,1,1,5,1,33,6
262,0,0,1,0,0,9,19,0
263,2,0,13,0,0,14,1,0
264,2,43,2,0,11,10,1,0
265,1,0,14,2,5,2,1,2
266,1,0,1,0,0,12,52,0
267,5,0,0,3,6,0,4,7
268,6,0,2,2,3,1,1,2
269,0,0,2,5,6,11,5,4
270,7,0,3,5,84,11,1,4
271,5,0,0,7,0,11,4,1
272,2,0,7,7,63,5,1,1
273,14,0,0,7,7,11,1,1
274,1,0,2,0,14,1,3,0
275,1,0,1,0,14,1,3,0
276,1,0,2,2,20,3,2,5
277,10,0,0,3,10,3,2,5
278,0,0,1,1,11,13,12,6
279,5,0,0,0,41,8,1,0
280,14,34,1,7,6,11,1,1
281,1,0,1,6,5,13,12,3
282,7,0,1,6,5,13,2,5
283,9,0,4,1,0,10,2,5
284,0,35,0,1,5,10,1,6
285,1,0,1,1,5,10,41,9
286,11,0,0,1,0,10,1,6
287,1,0,0,1,0,10,33,9
288,7,0,1,0,10,3,2,5
289,5,0,3,0,0,8,5,0
290,1,13,1,7,0,8,1,1
291,0,0,3,0,0,8,45,0
292,0,0,1,0,0,8,36,0
293,2,0,0,7,46,8,1,1
294,0,0,1,6,5,0,6,3
295,0,0,4,7,0,8,7,1
296,1,40,1,0,86,3,1,0
297,0,21,1,6,1,0,1,3
298,3,0,1,7,0,4,5,1
299,0,0,2,3,6,4,45,4
300,5,0,3,7,5,4,2,5
301,15,0,2,3,6,4,4,4
302,1,0,10,1,5,1,6,9
303,2,0,7,7,0,0,7,1
304,0,0,1,1,5,11,17,6
305,1,53,8,0,18,1,1,0
306,0,0,10,7,0,0,3,1
307,1,0,0,3,28,10,1,7
308,6,0,2,5,1,13,1,4
309,10,0,1,5,38,11,1,4
310,2,0,12,7,48,0,1,1
311,1,18,0,2,13,3,1,2
312,0,0,1,2,10,8,7,2
313,6,0,2,3,69,8,1,4
314,0,39,2,1,3,1,1,6
315,2,0,3,0,26,8,1,0
316,2,56,3,6,10,13,1,3
317,8,0,1,6,0,1,1,3
318,1,0,1,0,5,7,17,0
319,12,0,3,7,11,0,1,1
320,16,0,2,5,57,0,1,4
321,6,24,3,0,86,6,1,0
322,1,0,3,7,14,4,1,1
323,4,0,1,1,0,1,6,6
324,2,0,0,5,10,4,3,7
325,1,0,3,1,67,2,3,9
326,1,0,1,1,0,4,79,9
327,2,0,12,3,56,9,1,7
328,3,91,1,2,0,8,1,2
329,4,96,1,2,13,8,1,2
330,0,0,3,2,10,8,4,2
331,10,0,1,6,10,1,2,5
332,6,0,1,6,1,4,2,5
333,2,67,1,6,91,8,1,3
334,15,0,9,3,63,0,1,7
335,9,0,1,6,10,8,2,5
336,11,0,2,5,10,0,1,4
337,2,0,1,1,0,1,10,6
338,9,0,3,3,41,1,1,7
339,1,0,1,0,0,3,61,0
340,1,0,0,2,0,1,7,2
341,2,15,4,2,17,13,1,2
342,7,29,0,0,4,3,1,0
343,1,0,2,5,6,0,4,4
344,0,0,5,0,10,2,3,0
345,1,0,3,7,5,13,4,1
346,2,0,0,7,41,8,2,5
347,2,0,9,1,43,11,1,6
348,1,0,3,0,0,0,30,0
349,14,0,6,2,20,0,1,2
350,8,0,1,1,5,1,1,6
351,2,0,2,3,6,0,70,4
352,3,0,11,3,6,0,1,7
353,1,28,0,1,17,8,1,9
354,1,0,0,1,0,1,39,9
355,2,7,0,0,66,13,1,0
356,0,0,1,0,10,13,7,0
357,1,0,1,0,55,1,5,0
358,1,0,5,2,0,0,13,2
359,0,3,10,1,21,11,1,6
360,6,2,3,7,32,11,1,1
361,1,3,5,1,13,11,1,9
362,0,0,10,1,3,11,6,6
363,0,0,3,0,59,8,1,0
364,0,0,3,1,28,13,2,5
365,4,84,3,0,17,7,1,0
366,0,0,3,0,0,7,13,0
367,1,0,3,0,51,1,3,0
368,10,58,1,0,14,8,1,0
369,6,28,2,0,56,1,1,0
370,1,0,3,1,5,1,25,9
371,1,0,1,7,6,0,3,1
372,0,60,3,1,20,11,1,6
373,14,0,1,6,48,0,1,3
374,5,0,2,1,0,3,4,6
375,2,15,11,0,0,11,1,0
376,0,42,3,0,0,3,1,0
377,3,0,2,5,38,11,1,4
378,3,0,2,5,9,5,1,4
379,0,0,4,0,0,11,2,5
380,16,16,3,5,9,5,1,4
381,1,0,1,0,11,8,4,0
382,9,0,1,1,11,13,1,6
383,10,25,6,7,72,1,1,1
384,1,0,1,6,41,0,1,3
385,7,0,8,7,14,1,1,1
386,1,20,3,1,11,9,1,9
387,1,14,2,1,5,8,1,9
388,1,0,4,1,3,9,9,9
389,1,0,2,1,3,9,23,9
390,0,0,8,1,3,8,3,6
391,16,0,4,1,3,3,1,6
392,15,0,10,7,48,0,2,5
393,0,0,3,0,55,14,3,0
394,0,0,2,7,5,14,4,1
395,0,0,1,2,5,8,10,2
396,0,0,10,7,5,14,3,1
397,1,86,1,0,4,14,2,0
398,1,0,1,0,70,0,2,5
399,0,0,1,5,0,0,1,4
400,6,0,14,0,0,0,1,0
401,6,0,1,0,3,0,3,0
402,2,8,0,4,1,1,1,8
403,16,0,2,5,43,0,2,5
404,1,35,1,6,2,0,1,3
405,0,0,3,0,63,0,1,0
406,1,0,1,0,5,8,34,0
407,5,0,1,0,6,0,1,0
408,5,0,4,1,0,2,3,6
409,6,0,1,1,5,2,9,6
410,2,7,0,1,7,2,1,6
411,1,7,0,1,2,6,1,9
412,5,0,2,1,5,10,7,6
413,0,0,3,1,0,1,25,6
414,0,0,16,1,0,1,1,6
415,9,0,1,0,5,12,1,0
416,0,0,3,0,5,12,5,0
417,2,0,1,0,1,12,2,5
418,9,0,3,0,5,12,5,0
419,1,1,12,0,25,12,1,0
420,0,0,12,2,3,13,1,2
421,7,0,1,0,5,8,2,5
422,4,23,0,5,3,8,1,7
423,1,0,2,5,5,8,12,4
424,2,0,1,5,38,11,1,4
425,11,0,0,3,71,1,2,5
426,0,0,1,6,46,9,2,5
427,10,0,2,5,77,8,1,4
428,1,0,4,6,0,9,2,5
429,2,0,1,6,6,7,3,3
430,4,0,1,5,5,8,1,4
431,7,0,10,7,14,1,1,1
432,0,3,3,6,1,9,1,3
433,11,0,2,5,24,8,1,4
434,1,51,1,0,67,8,1,0
435,5,80,3,0,86,8,1,0
436,6,0,3,0,0,8,15,0
437,8,0,3,0,0,8,3,0
438,2,0,1,1,48,8,1,6
439,2,0,2,7,92,13,1,1
440,3,0,5,2,0,13,3,2
441,1,0,1,1,5,11,40,9
442,1,0,2,0,6,3,2,5
443,1,0,1,0,6,3,4,0
444,0,0,4,7,0,0,4,1
445,2,0,2,5,72,1,1,4
446,1,0,1,2,0,8,46,2
447,7,0,1,2,10,8,1,2
448,7,0,5,1,3,14,3,6
449,9,0,5,1,0,14,2,5
450,1,92,10,1,0,6,1,9
451,14,0,6,7,7,0,1,1
452,7,26,4,0,86,3,1,0
453,15,16,1,6,50,5,1,3
454,3,0,2,1,11,6,3,6
455,1,1,4,7,18,5,1,1
456,2,7,6,7,7,9,1,1
457,0,0,3,0,24,0,2,5
458,2,0,14,7,1,8,3,1
459,0,15,4,2,17,10,1,2
460,3,0,3,2,20,2,1,2
461,1,0,1,2,20,2,5,2
462,1,59,5,1,7,4,1,9
463,3,0,0,1,0,0,5,6
464,3,38,13,1,0,12,1,6
465,12,0,2,5,3,9,2,5
466,1,91,1,0,65,0,1,0
467,1,0,20,7,6,3,1,1
468,1,97,1,1,0,3,1,9
469,8,0,1,1,0,7,18,6
470,3,14,8,0,17,3,1,0
471,2,0,1,1,3,8,3,6
472,5,0,0,7,71,14,1,1
473,2,0,1,0,3,0,1,0
474,0,0,9,0,55,8,1,0
475,1,15,3,0,17,7,1,0
476,7,31,2,0,17,7,1,0
477,5,0,5,1,5,12,1,6
478,0,0,12,1,5,12,2,5
479,0,24,0,7,0,0,1,1
480,2,44,0,7,0,0,1,1
481,1,0,1,1,3,8,78,9
482,8,0,1,2,32,1,1,2
483,0,0,3,6,70,12,1,3
484,1,0,1,1,53,14,1,9
485,0,0,1,5,10,8,2,5
486,7,0,1,0,5,9,3,0
487,15,0,0,5,0,8,2,5
488,1,0,0,1,11,8,18,9
489,11,0,6,1,0,1,3,6
490,2,0,0,5,10,8,3,7
491,2,85,6,7,70,1,1,1
492,7,0,1,6,52,1,1,3
493,6,0,4,0,0,8,2,5
494,1,0,1,0,19,13,2,5
495,1,0,0,0,55,13,3,0
496,1,0,3,1,63,11,2,5
497,5,0,2,3,6,3,12,4
498,1,0,2,0,20,3,1,0
499,7,0,2,3,6,3,5,4
500,1,27,3,0,91,3,1,0
501,1,0,1,0,0,8,56,0
502,0,0,0,6,37,12,1,3
503,1,0,2,6,19,12,1,3
504,1,0,1,6,19,12,1,3
505,12,39,1,6,0,12,1,3
506,1,0,1,1,3,2,59,9
507,6,0,1,1,11,2,4,6
508,1,0,0,1,3,2,14,9
509,6,23,5,2,5,11,1,2
510,2,0,7,7,27,14,2,5
511,1,0,3,1,26,12,1,9
512,3,0,3,1,26,12,1,6
513,5,0,3,1,5,12,2,5
514,1,0,1,2,3,8,11,2
515,7,0,1,1,3,8,8,6
516,2,0,3,0,6,5,1,0
517,4,0,3,0,6,5,2,5
518,2,0,6,7,0,5,2,5
519,1,0,3,5,50,8,1,4
520,1,50,3,1,4,3,1,9
521,5,11,0,0,5,13,1,0
522,1,65,3,0,17,13,1,0
523,1,54,1,0,17,13,1,0
524,5,65,1,0,13,5,1,0
525,10,1,7,7,9,13,1,1
526,3,45,1,2,20,13,1,2
527,4,7,7,7,50,13,1,1
528,0,0,1,0,46,14,2,5
529,7,0,2,5,0,13,1,4
530,4,0,3,0,70,0,1,0
531,2,0,4,7,0,8,3,1
532,3,97,1,6,1,8,1,3
533,13,0,2,5,62,6,1,4
534,6,0,3,7,5,8,2,5
535,6,0,2,5,19,6,1,4
536,7,0,2,5,19,6,1,4
537,1,50,3,5,28,6,2,5
538,1,12,8,1,2,6,1,9
539,13,95,0,5,74,9,1,7
540,1,0,8,0,3,0,2,5
541,10,0,1,7,10,8,3,1
542,0,0,3,7,0,8,9,1
543,10,64,13,4,17,13,1,8
544,8,0,0,7,0,8,1,1
545,3,9,2,0,56,8,1,0
546,2,45,10,7,0,8,1,1
547,2,0,10,4,10,1,1,8
548,12,9,3,0,56,8,1,0
549,0,0,1,0,14,0,5,0
550,1,36,1,0,3,0,1,0
551,0,2,2,1,11,14,1,6
552,1,51,5,1,3,0,1,9
553,4,7,8,7,89,0,1,1
554,8,0,3,1,5,4,1,6
555,2,0,6,1,0,1,4,6
556,8,0,1,1,0,4,15,6
557,2,0,7,7,10,10,3,1
558,4,0,7,7,0,4,1,1
559,11,0,7,7,43,4,1,1
560,0,0,2,2,7,8,1,2
561,1,40,1,0,4,3,1,0
562,9,0,0,1,5,0,1,6
563,0,7,5,0,4,3,1,0
564,5,15,3,0,10,3,1,0
565,14,0,1,6,58,13,1,3
566,6,78,5,0,17,3,1,0
567,0,0,0,0,25,1,1,0
568,6,0,1,0,41,8,2,5
569,0,0,3,5,5,11,2,5
570,15,0,6,7,33,1,2,5
571,1,0,1,2,3,1,13,2
572,0,0,0,0,5,7,3,0
573,1,86,1,0,3,0,1,0
574,3,0,0,0,0,0,1,0
575,0,0,1,0,20,0,2,5
576,4,0,1,6,60,0,1,3
577,11,50,1,6,5,14,1,3
578,14,0,6,7,0,0,1,1
579,0,0,1,7,0,8,16,1
580,0,0,3,6,15,12,1,3
581,15,0,1,7,10,8,1,1
582,5,13,2,6,18,12,1,3
583,9,5,1,6,2,4,1,3
584,15,0,2,5,28,4,1,4
585,3,0,1,6,0,12,5,3
586,5,0,1,6,64,9,1,3
587,9,0,10,2,7,3,1,2
588,2,17,4,7,0,3,1,1
589,0,0,3,2,10,3,2,5
590,1,0,6,6,67,9,1,3
591,1,83,0,2,17,9,1,2
592,10,0,2,5,0,9,2,5
593,2,0,0,5,91,9,1,7
594,0,90,3,2,13,9,1,2
595,3,54,0,5,5,9,1,7
596,0,10,1,2,13,5,1,2
597,5,0,2,1,9,8,1,6
598,3,0,6,7,1,0,1,1
599,3,0,12,1,3,8,1,6
600,1,26,2,1,43,8,1,9
601,1,0,1,1,0,8,124,9
602,7,0,5,5,0,1,1,4
603,4,0,9,7,54,1,1,1
604,2,0,3,7,70,1,1,1
605,3,0,2,5,0,1,3,4
606,1,58,0,2,0,1,1,2
607,3,0,9,3,80,1,1,7
608,6,0,4,0,6,3,1,0
609,1,44,2,2,13,8,1,2
610,6,0,1,0,37,14,1,0
611,1,83,1,1,18,11,1,9
612,4,0,2,5,19,0,2,5
613,0,2,1,0,28,0,1,0
614,0,0,1,1,0,11,60,6
615,4,0,2,3,14,1,8,4
616,16,0,2,5,6,8,1,4
617,4,0,2,3,19,1,2,5
618,14,0,0,7,69,14,1,1
619,8,0,1,1,3,11,12,6
620,4,0,0,7,5,13,2,5
621,8,0,2,1,3,11,3,6
622,1,24,4,2,6,0,1,2
623,16,0,11,5,0,0,1,4
624,0,19,1,0,17,3,1,0
625,5,0,8,7,10,1,1,1
626,0,21,1,6,0,1,1,3
627,1,0,2,0,27,3,1,0
628,4,0,0,3,68,0,1,7
629,9,51,1,0,6,7,1,0
630,6,0,1,5,73,0,1,4
631,2,0,0,7,54,0,1,1
632,1,0,0,0,0,3,15,0
633,2,0,2,5,6,8,6,4
634,1,30,3,0,2,13,1,0
635,7,0,1,0,5,2,2,5
636,11,0,2,1,0,1,1,6
637,0,0,2,0,65,13,1,0
638,1,0,3,0,19,13,3,0
639,0,3,1,2,3,10,1,2
640,0,0,3,7,5,4,4,1
641,0,8,3,0,5,10,1,0
642,1,2,8,0,0,10,1,0
643,5,0,4,7,20,4,1,1
644,0,0,4,1,5,12,2,5
645,3,9,4,1,0,14,1,6
646,0,0,5,1,5,12,5,6
647,6,0,1,0,0,8,12,0
648,12,15,1,0,4,5,1,0
649,1,0,8,1,3,8,4,9
650,2,13,0,0,46,14,1,0
651,10,0,15,3,51,8,1,7
652,16,0,2,5,0,0,10,4
653,4,0,0,6,25,1,1,3
654,4,1,0,6,25,1,1,3
655,0,8,1,1,11,2,1,6
656,0,0,11,7,14,0,1,1
657,1,14,9,2,13,3,1,2
658,1,0,1,6,67,9,4,3
659,2,0,10,7,0,3,4,1
660,2,0,1,6,67,9,1,3
661,13,5,0,3,51,0,1,7
662,7,0,1,1,3,1,3,6
663,5,0,7,7,54,0,4,1
664,14,0,7,7,57,0,1,1
665,5,0,0,7,48,0,1,1
666,5,0,7,7,48,0,1,1
667,4,34,7,7,11,0,1,1
668,3,0,7,7,27,0,2,5
669,0,0,4,1,0,12,10,6
670,11,0,0,3,6,8,4,7
671,1,0,4,1,0,14,13,9
672,2,0,0,3,6,14,18,7
673,2,0,0,3,3,14,6,7
674,14,7,5,2,17,14,1,2
675,1,93,5,2,7,1,1,2
676,1,0,5,1,0,1,23,9
677,2,0,0,1,46,0,1,6
678,9,0,3,1,56,1,1,6
679,2,0,0,7,53,8,2,5
680,1,13,3,0,5,8,2,0
681,12,0,7,7,68,10,2,5
682,1,0,0,1,3,1,21,9
683,1,0,8,1,6,13,1,9
684,9,0,1,0,0,0,2,5
685,6,22,0,4,11,13,1,8
686,7,0,5,2,0,4,2,5
687,1,12,1,0,61,14,1,0
688,5,30,2,2,18,11,1,2
689,3,86,6,2,3,13,1,2
690,7,0,3,1,0,10,5,6
691,1,0,2,1,3,14,15,9
692,7,0,5,1,0,10,6,6
693,0,0,2,5,1,12,4,4
694,6,0,5,1,3,14,5,6
695,13,0,2,5,5,14,3,4
696,2,0,4,7,0,1,3,1
697,1,9,5,5,7,0,1,9
698,0,7,3,5,7,0,1,4
699,2,38,0,5,24,0,1,7
700,4,0,1,6,24,1,4,3
701,11,0,0,6,25,1,1,3
702,6,0,2,3,19,14,1,4
703,2,0,2,3,26,14,5,4
704,1,23,1,1,7,11,2,9
705,1,17,0,1,0,8,1,9
706,7,0,3,1,5,8,1,6
707,0,90,13,4,68,8,1,8
708,1,21,1,2,56,0,1,2
709,1,0,2,3,3,0,6,4
710,0,9,1,1,21,3,2,6
711,6,0,2,1,14,11,1,6
712,10,0,0,3,80,13,1,7
713,1,50,5,1,20,9,1,9
714,1,47,15,1,44,9,1,9
715,1,0,1,1,20,9,8,9
716,1,0,1,1,0,9,60,9
717,2,0,2,3,22,11,2,5
718,15,0,2,7,71,8,1,1
719,2,0,2,3,24,8,2,5
720,3,4,7,7,21,1,1,1
721,0,0,1,3,7,11,1,7
722,2,58,11,7,72,1,1,1
723,0,0,5,3,5,8,1,7
724,2,0,1,1,10,2,2,5
725,1,0,6,1,0,14,7,9
726,0,0,7,1,28,2,1,6
727,0,0,1,2,54,10,3,2
728,6,0,9,1,28,2,1,6
729,10,6,2,1,1,2,1,6
730,7,0,1,6,0,8,3,3
731,0,5,0,1,5,2,1,6
732,1,0,2,6,5,8,1,3
733,1,34,12,6,12,8,1,3
734,9,0,2,3,10,8,1,4
735,1,0,3,7,0,11,6,1
736,1,0,1,0,52,1,1,0
737,6,0,0,2,0,11,2,5
738,1,0,1,1,44,8,1,9
739,1,0,5,1,3,8,20,9
740,5,0,6,1,5,6,3,6
741,14,2,1,7,56,0,1,1
742,2,0,0,5,47,1,2,5
743,1,0,0,1,21,6,1,9
744,0,0,2,1,3,2,6,6
745,5,0,7,7,51,0,2,5
746,6,0,1,0,6,10,3,0
747,0,0,1,0,6,10,4,0
748,1,0,1,0,5,10,44,0
749,2,0,3,7,5,13,2,5
750,12,0,1,0,0,13,1,0
751,1,35,3,1,17,1,1,9
752,0,0,1,0,0,13,27,0
753,12,62,14,1,86,1,1,6
754,6,2,7,0,18,1,1,0
755,1,13,0,0,5,8,1,0
756,1,73,0,0,5,8,1,0
757,2,0,9,3,6,12,9,7
758,2,0,0,3,91,12,2,5
759,1,50,1,2,17,10,1,2
760,0,50,5,2,13,10,1,2
761,0,0,2,1,11,2,5,6
762,1,0,0,1,5,2,12,9
763,12,0,7,7,51,0,2,5
764,0,60,3,1,21,1,1,6
765,13,0,1,6,47,4,1,3
