,INCIDENT_UNIQUE_IDENTIFIER,SUBJECT_GENDER,SUBJECT_DETAILS,SUBJECT_RACE,SUBJECT_DETAILS.2,SEARCH_REASON,INCIDENT_REASON,INCIDENT_REASON.1,VEHICLE_MAKE,VEHICLE_YEAR,VEHICLE_COLOR,VEHICLE_DETAILS,VEHICLE_DETAILS.1,OFFICER_SUPERVISOR,OFFICER_ID,OFFICER_ASSIGNMENT,OFFICER_AGE,LOCATION_STREET_NUMBER,LOCATION_CITY,Year,Month,Day,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,SEARCH_CONDUCTED,SEARCH_CONDUCTED,DISPOSITION,DISPOSITION,DISPOSITION,subject_Cluster_K_Means,subject_Cluster_GMM,vehicle_Cluster_K_Means,vehicle_Cluster_GMM,location_Cluster_K_Means,location_Cluster_GMM,officer_Cluster_K_Means,officer_Cluster_GMM,action_Cluster_K_Means,action_Cluster_GMM,date_Cluster_K_Means,date_Cluster_GMM
118537,OTHER,1,YES,White,Light,PROBABLE CAUSE,OTHER,INVESTIGATE,HONDA,2000.0,GREEN,DRIVER,MA,8022.0,102400,6,0.2571428571428571,106,OTHER,0.75,0.9090909090909091,0.7333333333333333,0,0,1,0,0,1,1,1,0,0,0,0,3,12,0,23,6,4,0,33,2,57
125295,OTHER,1,YES,Black,Med,PROBABLE CAUSE,RADIO CALL,VAL,HONDA,2001.0,BLUE,DRIVER,MA,11756.0,103764,4,0.18571428571428572,485,Mattapan,0.0,0.09090909090909091,0.6333333333333333,0,1,1,1,0,1,1,0,1,0,1,1,6,4,0,19,3,4,2,15,9,15
33396,OTHER,1,YES,White,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8949.0,103524,1,0.2571428571428571,543,Boston,0.5,0.8181818181818182,0.6,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,4,3,4,3,10,14,25
59653,OTHER,1,YES,Black,Med,PROBABLE CAUSE,RADIO CALL,VAL,HONDA,2001.0,BLUE,DRIVER,MA,11756.0,102672,4,0.18571428571428572,485,Dorchester,0.25,0.36363636363636365,0.43333333333333335,0,1,0,1,1,0,1,0,1,0,1,1,6,4,1,1,3,4,4,15,7,39
7651,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,RADIO CALL,INVESTIGATE,HONDA,2000.0,BLUE,PASSENGER,MA,11596.0,12129,2,0.18571428571428572,506,East Boston,0.5,0.4545454545454545,0.43333333333333335,0,1,0,0,0,1,0,0,1,0,1,1,2,13,0,11,3,1,6,18,8,49
43159,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11826.0,55238,16,0.18571428571428572,OTHER,Roxbury,0.25,0.8181818181818182,0.9666666666666667,0,1,0,0,0,1,0,0,1,0,1,1,0,0,2,7,24,1,5,22,5,19
85828,OTHER,1,YES,Hispanic,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10739.0,102366,16,0.14285714285714285,OTHER,Dorchester,0.25,0.4545454545454545,0.0,0,1,0,0,0,1,0,0,1,0,7,5,0,0,2,3,3,4,5,22,0,20
16828,OTHER,1,YES,White,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10060.0,95168,1,0.2571428571428571,543,Boston,0.75,0.6363636363636364,0.13333333333333333,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,4,3,1,3,10,0,24
88743,OTHER,1,YES,White,OTHER,REASONABLE SUSPICION,MOTOR VEHICLE VIOLATION,INVESTIGATE,HONDA,2001.0,BLUE,DRIVER,MA,11401.0,11476,8,0.2142857142857143,2893,Boston,0.75,0.5454545454545454,0.7333333333333333,0,0,0,1,0,1,0,0,1,0,13,30,6,4,0,12,3,1,6,17,11,36
12772,OTHER,1,NO,Hispanic,Light,CONSENT SEARCH,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11596.0,90466,2,0.17142857142857143,506,East Boston,0.5,0.2727272727272727,0.23333333333333334,0,1,0,1,1,1,0,0,1,0,14,11,0,0,0,11,3,1,4,18,7,12
849,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,86124.0,11817,16,0.18571428571428572,OTHER,Roxbury,0.5,0.6363636363636364,0.6333333333333333,0,1,0,1,1,1,0,0,1,0,1,1,0,0,2,7,17,1,5,2,11,11
56969,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11610.0,9778,8,0.17142857142857143,4124,Dorchester,0.0,0.8181818181818182,0.8333333333333334,0,1,0,1,0,1,0,0,1,0,2,2,0,0,1,31,3,1,6,18,5,50
30851,OTHER,1,NO,White,Light,REASONABLE SUSPICION,INVESTIGATIVE,VAL,HONDA,2001.0,BLUE,DRIVER,MA,11689.0,52976,16,0.17142857142857143,OTHER,Dorchester,0.0,0.6363636363636364,0.06666666666666668,0,1,0,1,0,1,0,0,1,0,10,10,6,4,2,3,16,1,1,6,0,24
54973,OTHER,1,YES,White,Light,REASONABLE SUSPICION,MOTOR VEHICLE VIOLATION,VAL,HONDA,2000.0,GREEN,DRIVER,MA,11756.0,102676,4,0.2571428571428571,485,Dorchester,0.5,0.4545454545454545,0.2,0,1,0,1,0,1,0,0,1,0,0,0,3,12,1,1,3,4,6,28,0,20
107968,OTHER,1,YES,White,Light,CONSENT SEARCH,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11610.0,OTHER,3,0.2571428571428571,485,Dorchester,0.75,0.4545454545454545,0.0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,5,1,3,4,18,0,20
41604,OTHER,1,YES,Hispanic,Med,PROBABLE CAUSE,INVESTIGATIVE,DRUGS,FORD,2000.0,RED,PASSENGER,MA,11610.0,89907,3,0.18571428571428572,485,Dorchester,0.25,0.9999999999999999,0.9333333333333333,0,1,0,1,1,1,1,0,1,0,5,4,2,11,1,5,3,1,2,30,2,2
125865,OTHER,1,YES,Black,Med,PROBABLE CAUSE,RADIO CALL,VAL,HONDA,2002.0,GREY,DRIVER,MA,11756.0,102353,4,0.18571428571428572,4771,Boston,0.25,0.09090909090909091,0.16666666666666669,0,1,1,1,1,1,0,0,1,0,1,1,5,10,0,41,3,4,4,24,4,3
105382,OTHER,1,YES,Black,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,9600.0,98750,1,0.15714285714285714,543,Boston,0.75,0.8181818181818182,0.9666666666666667,0,0,0,1,0,1,0,0,1,0,8,6,0,0,0,4,3,1,3,10,5,19
100341,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,HONDA,2002.0,BLACK,PASSENGER,MA,11610.0,103762,3,0.18571428571428572,485,Roxbury,0.5,0.6363636363636364,0.06666666666666668,0,1,0,1,1,1,1,0,1,0,1,1,2,6,0,8,3,1,5,29,0,24
123451,OTHER,1,YES,Black,Light,PROBABLE CAUSE,INVESTIGATIVE,VAL,HONDA,2001.0,BLUE,DRIVER,MA,8949.0,108437,8,0.15714285714285714,4124,Dorchester,1.0,0.36363636363636365,0.2,0,1,0,1,0,1,0,0,1,0,8,6,6,4,1,31,3,1,2,24,10,26
51545,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,86124.0,103559,16,0.17142857142857143,OTHER,Dorchester,0.5,0.9090909090909091,0.16666666666666669,0,1,0,1,1,1,0,0,1,0,2,2,0,0,2,3,11,4,0,18,6,57
104476,OTHER,1,YES,Hispanic,Med,REASONABLE SUSPICION,OTHER,INVESTIGATE,HONDA,2002.0,BLACK,PASSENGER,MA,10132.0,83788,16,0.18571428571428572,4562,Boston,0.75,0.4545454545454545,0.6666666666666666,0,1,0,0,0,1,0,0,1,0,5,4,2,6,2,9,25,1,0,19,11,49
39207,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,HONDA,2008.0,BLACK,DRIVER,MA,10739.0,99734,16,0.18571428571428572,OTHER,Dorchester,0.5,0.2727272727272727,0.03333333333333333,0,1,1,1,1,1,1,0,1,0,1,1,1,1,2,3,3,1,1,5,10,37
51652,OTHER,1,NO,Hispanic,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8949.0,95168,1,0.1,543,Boston,0.5,0.7272727272727273,0.4666666666666667,0,0,0,1,0,1,0,0,1,0,9,14,0,0,0,4,3,1,3,10,14,31
133571,OTHER,1,YES,Hispanic,Light,CONSENT SEARCH,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10739.0,98663,16,0.14285714285714285,OTHER,Dorchester,0.5,0.1818181818181818,0.3666666666666667,0,1,1,1,1,1,0,0,1,0,7,5,0,0,2,3,3,1,4,18,7,43
78148,OTHER,1,NO,Black,Dark,PROBABLE CAUSE,INVESTIGATIVE,VAL,HONDA,2002.0,GREY,DRIVER,MA,10739.0,99734,16,0.14285714285714285,OTHER,Roxbury,0.5,0.0,0.7333333333333333,0,1,1,1,1,1,1,1,1,0,4,8,3,10,2,7,3,1,2,15,15,41
59400,OTHER,1,YES,Black,Med,PROBABLE CAUSE,RADIO CALL,WARRANTS,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8695.0,99736,5,0.18571428571428572,1350,Dorchester,0.0,0.7272727272727273,0.4666666666666667,0,1,0,0,0,1,0,0,1,1,1,28,0,0,1,10,3,1,4,26,14,31
137780,OTHER,1,YES,White,Light,PROBABLE CAUSE,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11756.0,102353,4,0.2571428571428571,485,Roxbury,0.0,0.9999999999999999,0.13333333333333333,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,25,3,4,4,18,6,21
38040,OTHER,1,YES,Black,Med,CONSENT SEARCH,INVESTIGATIVE,INVESTIGATE,HONDA,2002.0,GREY,DRIVER,MA,9965.0,102371,9,0.18571428571428572,822,OTHER,0.0,0.36363636363636365,0.5,0,1,0,1,1,1,0,0,1,0,1,1,1,10,0,36,3,4,3,18,1,39
14453,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,TOYOTA,2001.0,WHITE,DRIVER,MA,11610.0,92675,3,0.17142857142857143,485,Roxbury,0.5,0.36363636363636365,0.6333333333333333,0,1,0,1,0,1,0,0,1,0,2,2,3,3,0,8,10,1,5,2,1,1
31958,OTHER,1,YES,Black,Med,PROBABLE CAUSE,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11689.0,99771,16,0.18571428571428572,OTHER,Hyde Park,0.0,0.5454545454545454,0.43333333333333335,0,1,0,1,0,1,0,0,1,0,1,1,0,0,2,28,3,1,4,18,8,36
49786,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10534.0,11521,16,0.17142857142857143,OTHER,Dorchester,0.0,0.09090909090909091,0.26666666666666666,0,1,0,0,0,1,0,0,1,0,2,2,0,0,2,3,3,1,1,12,4,3
37185,OTHER,1,YES,White,Light,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10591.0,102371,9,0.2571428571428571,822,Roxbury,0.5,0.2727272727272727,0.4,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,33,3,4,1,5,7,22
89121,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,HONDA,2003.0,GREY,PASSENGER,MA,11312.0,99734,16,0.18571428571428572,4771,Roslindale,0.25,0.4545454545454545,0.9333333333333333,0,1,0,1,0,1,0,0,1,0,1,1,4,8,2,39,3,1,5,2,3,23
85264,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10132.0,10132,9,0.18571428571428572,822,Jamaica Plain,0.75,0.1818181818181818,0.4,0,1,0,1,0,1,0,0,1,0,1,1,0,0,2,24,3,1,5,2,7,43
533,OTHER,1,YES,Black,Med,PROBABLE CAUSE,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11756.0,108877,4,0.18571428571428572,485,Dorchester,0.25,0.36363636363636365,0.8333333333333334,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,3,4,0,18,3,55
106024,OTHER,1,YES,White,Med,PROBABLE CAUSE,INVESTIGATIVE,DISPUTE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11596.0,10148,2,0.32857142857142857,4035,OTHER,0.75,0.9090909090909091,0.6,0,1,0,0,0,1,0,0,1,0,6,3,0,0,0,44,3,1,5,13,14,57
18840,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,OTHER,INVESTIGATE,HONDA,2002.0,GREY,DRIVER,MA,11756.0,103782,4,0.17142857142857143,485,Roxbury,0.75,0.4545454545454545,0.16666666666666669,0,1,0,0,0,1,0,0,1,0,2,2,5,10,0,25,3,4,0,19,0,20
30017,OTHER,1,YES,White,Light,PROBABLE CAUSE,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,6620.0,102370,2,0.2571428571428571,506,East Boston,0.0,0.2727272727272727,0.23333333333333334,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,11,3,4,0,33,7,12
81697,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8835.0,131218,3,0.17142857142857143,485,Dorchester,0.75,0.9090909090909091,0.9666666666666667,0,1,0,1,0,1,0,0,1,0,2,2,0,0,1,5,3,1,5,2,5,57
81108,OTHER,1,YES,Black,Med,PROBABLE CAUSE,MOTOR VEHICLE VIOLATION,VAL,HONDA,2008.0,BLACK,DRIVER,MA,86199.0,55390,16,0.18571428571428572,485,OTHER,1.0,0.09090909090909091,0.7666666666666667,0,1,0,1,0,1,0,0,1,0,1,1,1,1,2,18,3,1,2,3,15,15
38930,OTHER,1,YES,White,Light,PROBABLE CAUSE,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10402.0,11168,11,0.2571428571428571,OTHER,Roslindale,0.0,0.36363636363636365,0.23333333333333334,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,15,21,4,4,35,7,46
32777,OTHER,1,YES,White,Light,REASONABLE SUSPICION,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8949.0,56151,1,0.2571428571428571,2800,Charlestown,0.0,0.9999999999999999,0.6333333333333333,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,20,3,1,0,19,2,2
34664,OTHER,1,YES,Black,Brown,PROBABLE CAUSE,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10739.0,52976,16,0.2285714285714286,OTHER,Dorchester,0.25,0.2727272727272727,0.8666666666666667,0,1,0,1,1,1,0,0,1,0,11,9,0,0,2,3,16,1,0,18,3,10
14237,OTHER,1,YES,White,Light,PROBABLE CAUSE,INVESTIGATIVE,PROSTITUTION,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,9724.0,116890,5,0.2571428571428571,1350,Dorchester,0.75,0.4545454545454545,0.4666666666666667,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,10,3,1,2,23,1,49
49776,OTHER,1,YES,Black,Brown,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11689.0,52976,16,0.2285714285714286,OTHER,Roxbury,0.0,0.09090909090909091,0.1,0,1,0,1,1,1,0,0,1,0,11,9,0,0,2,7,16,1,5,2,4,3
22208,OTHER,1,YES,White,Light,PROBABLE CAUSE,MOTOR VEHICLE VIOLATION,DISTURBANCE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11596.0,95135,2,0.2571428571428571,506,East Boston,0.75,0.0,0.9333333333333333,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,11,3,1,2,31,15,41
49124,OTHER,1,YES,White,Med,REASONABLE SUSPICION,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11756.0,102951,4,0.32857142857142857,485,OTHER,0.5,0.4545454545454545,0.43333333333333335,0,1,0,1,1,1,0,0,1,0,6,29,0,0,0,16,5,4,6,18,8,49
43424,OTHER,1,YES,White,Med,REASONABLE SUSPICION,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10251.0,98667,8,0.32857142857142857,2893,OTHER,0.75,0.6363636363636364,0.1,0,1,0,1,0,1,0,0,1,0,6,3,0,0,0,21,3,1,6,18,0,24
19980,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,VAL,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11610.0,116947,3,0.18571428571428572,485,Roxbury,0.75,0.7272727272727273,0.4,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,8,3,1,2,24,8,31
109191,OTHER,1,YES,White,Light,CONSENT SEARCH,RADIO CALL,B&E,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,7358.0,102384,11,0.2571428571428571,OTHER,Roslindale,0.75,0.09090909090909091,0.43333333333333335,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,15,3,1,4,34,9,15
36122,OTHER,1,YES,White,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8940.0,OTHER,3,0.2571428571428571,485,Dorchester,0.0,0.0,0.4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,5,1,3,3,10,9,30
59151,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,INVESTIGATIVE,VAL,HONDA,2002.0,GREY,DRIVER,MA,10739.0,11247,16,0.18571428571428572,485,OTHER,0.0,0.5454545454545454,0.26666666666666666,0,1,1,1,1,1,0,0,1,0,1,1,1,10,2,18,3,4,1,6,8,0
