,INCIDENT_UNIQUE_IDENTIFIER,SUBJECT_GENDER,SUBJECT_DETAILS,SUBJECT_RACE,SUBJECT_DETAILS.2,SEARCH_REASON,INCIDENT_REASON,INCIDENT_REASON.1,VEHICLE_MAKE,VEHICLE_YEAR,VEHICLE_COLOR,VEHICLE_DETAILS,VEHICLE_DETAILS.1,OFFICER_SUPERVISOR,OFFICER_ID,OFFICER_ASSIGNMENT,OFFICER_AGE,LOCATION_STREET_NUMBER,LOCATION_CITY,Year,Month,Day,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,SEARCH_CONDUCTED,SEARCH_CONDUCTED,DISPOSITION,DISPOSITION,DISPOSITION,occurances,Cluster_kmeans
9,OTHER,1,YES,Hispanic,Light,CONSENT SEARCH,INVESTIGATIVE,TRESPASSING,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,86124.0,98656,16,0.14285714285714285,OTHER,Hyde Park,0.25,0.2727272727272727,0.2,0,1,0,1,0,1,0,0,1,0,1,14
10,OTHER,1,YES,White,Light,PROBABLE CAUSE,INVESTIGATIVE,TRESPASSING,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8662.0,102400,6,0.2571428571428571,OTHER,South Boston,0.5,0.5454545454545454,0.3333333333333333,0,0,1,0,0,1,0,0,1,0,1,4
11,OTHER,1,YES,White,Light,PROBABLE CAUSE,OTHER,INVESTIGATE,HONDA,2000.0,GREEN,DRIVER,MA,8022.0,102400,6,0.2571428571428571,106,OTHER,0.75,0.9090909090909091,0.7333333333333333,0,0,1,0,0,1,1,1,0,0,1,13
12,OTHER,1,YES,Black,Med,PROBABLE CAUSE,RADIO CALL,VAL,HONDA,2001.0,BLUE,DRIVER,MA,11756.0,103764,4,0.18571428571428572,485,Mattapan,0.0,0.09090909090909091,0.6333333333333333,0,1,1,1,0,1,1,0,1,0,1,8
13,OTHER,1,YES,White,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8949.0,103524,1,0.2571428571428571,543,Boston,0.5,0.8181818181818182,0.6,0,0,0,1,0,1,0,0,1,0,1,5
14,OTHER,1,YES,Black,Med,PROBABLE CAUSE,RADIO CALL,VAL,HONDA,2001.0,BLUE,DRIVER,MA,11756.0,102672,4,0.18571428571428572,485,Dorchester,0.25,0.36363636363636365,0.43333333333333335,0,1,0,1,1,0,1,0,1,0,1,8
15,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,RADIO CALL,INVESTIGATE,HONDA,2000.0,BLUE,PASSENGER,MA,11596.0,12129,2,0.18571428571428572,506,East Boston,0.5,0.4545454545454545,0.43333333333333335,0,1,0,0,0,1,0,0,1,0,1,7
16,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11826.0,55238,16,0.18571428571428572,OTHER,Roxbury,0.25,0.8181818181818182,0.9666666666666667,0,1,0,0,0,1,0,0,1,0,1,9
17,OTHER,1,YES,Hispanic,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10739.0,102366,16,0.14285714285714285,OTHER,Dorchester,0.25,0.4545454545454545,0.0,0,1,0,0,0,1,0,0,1,0,1,1
18,OTHER,1,YES,White,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10060.0,95168,1,0.2571428571428571,543,Boston,0.75,0.6363636363636364,0.13333333333333333,0,0,0,1,0,1,0,0,1,0,1,5
19,OTHER,1,YES,White,OTHER,REASONABLE SUSPICION,MOTOR VEHICLE VIOLATION,INVESTIGATE,HONDA,2001.0,BLUE,DRIVER,MA,11401.0,11476,8,0.2142857142857143,2893,Boston,0.75,0.5454545454545454,0.7333333333333333,0,0,0,1,0,1,0,0,1,0,1,13
20,OTHER,1,NO,Hispanic,Light,CONSENT SEARCH,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11596.0,90466,2,0.17142857142857143,506,East Boston,0.5,0.2727272727272727,0.23333333333333334,0,1,0,1,1,1,0,0,1,0,1,15
21,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,86124.0,11817,16,0.18571428571428572,OTHER,Roxbury,0.5,0.6363636363636364,0.6333333333333333,0,1,0,1,1,1,0,0,1,0,1,9
22,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11610.0,9778,8,0.17142857142857143,4124,Dorchester,0.0,0.8181818181818182,0.8333333333333334,0,1,0,1,0,1,0,0,1,0,1,16
23,OTHER,1,NO,White,Light,REASONABLE SUSPICION,INVESTIGATIVE,VAL,HONDA,2001.0,BLUE,DRIVER,MA,11689.0,52976,16,0.17142857142857143,OTHER,Dorchester,0.0,0.6363636363636364,0.06666666666666668,0,1,0,1,0,1,0,0,1,0,1,13
24,OTHER,1,YES,White,Light,REASONABLE SUSPICION,MOTOR VEHICLE VIOLATION,VAL,HONDA,2000.0,GREEN,DRIVER,MA,11756.0,102676,4,0.2571428571428571,485,Dorchester,0.5,0.4545454545454545,0.2,0,1,0,1,0,1,0,0,1,0,1,8
25,OTHER,1,YES,White,Light,CONSENT SEARCH,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11610.0,OTHER,3,0.2571428571428571,485,Dorchester,0.75,0.4545454545454545,0.0,0,1,0,0,1,1,0,0,1,0,1,6
26,OTHER,1,YES,Hispanic,Med,PROBABLE CAUSE,INVESTIGATIVE,DRUGS,FORD,2000.0,RED,PASSENGER,MA,11610.0,89907,3,0.18571428571428572,485,Dorchester,0.25,0.9999999999999999,0.9333333333333333,0,1,0,1,1,1,1,0,1,0,1,19
27,OTHER,1,YES,Black,Med,PROBABLE CAUSE,RADIO CALL,VAL,HONDA,2002.0,GREY,DRIVER,MA,11756.0,102353,4,0.18571428571428572,4771,Boston,0.25,0.09090909090909091,0.16666666666666669,0,1,1,1,1,1,0,0,1,0,1,8
28,OTHER,1,YES,Black,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,9600.0,98750,1,0.15714285714285714,543,Boston,0.75,0.8181818181818182,0.9666666666666667,0,0,0,1,0,1,0,0,1,0,1,5
29,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,HONDA,2002.0,BLACK,PASSENGER,MA,11610.0,103762,3,0.18571428571428572,485,Roxbury,0.5,0.6363636363636364,0.06666666666666668,0,1,0,1,1,1,1,0,1,0,1,7
30,OTHER,1,YES,Black,Light,PROBABLE CAUSE,INVESTIGATIVE,VAL,HONDA,2001.0,BLUE,DRIVER,MA,8949.0,108437,8,0.15714285714285714,4124,Dorchester,1.0,0.36363636363636365,0.2,0,1,0,1,0,1,0,0,1,0,1,13
31,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,86124.0,103559,16,0.17142857142857143,OTHER,Dorchester,0.5,0.9090909090909091,0.16666666666666669,0,1,0,1,1,1,0,0,1,0,1,1
32,OTHER,1,YES,Hispanic,Med,REASONABLE SUSPICION,OTHER,INVESTIGATE,HONDA,2002.0,BLACK,PASSENGER,MA,10132.0,83788,16,0.18571428571428572,4562,Boston,0.75,0.4545454545454545,0.6666666666666666,0,1,0,0,0,1,0,0,1,0,1,2
33,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,HONDA,2008.0,BLACK,DRIVER,MA,10739.0,99734,16,0.18571428571428572,OTHER,Dorchester,0.5,0.2727272727272727,0.03333333333333333,0,1,1,1,1,1,1,0,1,0,1,2
34,OTHER,1,NO,Hispanic,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8949.0,95168,1,0.1,543,Boston,0.5,0.7272727272727273,0.4666666666666667,0,0,0,1,0,1,0,0,1,0,1,5
35,OTHER,1,YES,Hispanic,Light,CONSENT SEARCH,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10739.0,98663,16,0.14285714285714285,OTHER,Dorchester,0.5,0.1818181818181818,0.3666666666666667,0,1,1,1,1,1,0,0,1,0,1,1
36,OTHER,1,NO,Black,Dark,PROBABLE CAUSE,INVESTIGATIVE,VAL,HONDA,2002.0,GREY,DRIVER,MA,10739.0,99734,16,0.14285714285714285,OTHER,Roxbury,0.5,0.0,0.7333333333333333,0,1,1,1,1,1,1,1,1,0,1,11
37,OTHER,1,YES,Black,Med,PROBABLE CAUSE,RADIO CALL,WARRANTS,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8695.0,99736,5,0.18571428571428572,1350,Dorchester,0.0,0.7272727272727273,0.4666666666666667,0,1,0,0,0,1,0,0,1,1,1,10
38,OTHER,1,YES,White,Light,PROBABLE CAUSE,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11756.0,102353,4,0.2571428571428571,485,Roxbury,0.0,0.9999999999999999,0.13333333333333333,0,1,1,1,1,1,0,0,1,0,1,17
39,OTHER,1,YES,Black,Med,CONSENT SEARCH,INVESTIGATIVE,INVESTIGATE,HONDA,2002.0,GREY,DRIVER,MA,9965.0,102371,9,0.18571428571428572,822,OTHER,0.0,0.36363636363636365,0.5,0,1,0,1,1,1,0,0,1,0,1,11
40,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,TOYOTA,2001.0,WHITE,DRIVER,MA,11610.0,92675,3,0.17142857142857143,485,Roxbury,0.5,0.36363636363636365,0.6333333333333333,0,1,0,1,0,1,0,0,1,0,1,3
41,OTHER,1,YES,Black,Med,PROBABLE CAUSE,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11689.0,99771,16,0.18571428571428572,OTHER,Hyde Park,0.0,0.5454545454545454,0.43333333333333335,0,1,0,1,0,1,0,0,1,0,1,1
42,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10534.0,11521,16,0.17142857142857143,OTHER,Dorchester,0.0,0.09090909090909091,0.26666666666666666,0,1,0,0,0,1,0,0,1,0,1,16
43,OTHER,1,YES,White,Light,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10591.0,102371,9,0.2571428571428571,822,Roxbury,0.5,0.2727272727272727,0.4,0,1,0,1,0,1,0,0,1,0,1,14
44,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,HONDA,2003.0,GREY,PASSENGER,MA,11312.0,99734,16,0.18571428571428572,4771,Roslindale,0.25,0.4545454545454545,0.9333333333333333,0,1,0,1,0,1,0,0,1,0,1,12
45,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10132.0,10132,9,0.18571428571428572,822,Jamaica Plain,0.75,0.1818181818181818,0.4,0,1,0,1,0,1,0,0,1,0,1,9
46,OTHER,1,YES,Black,Med,PROBABLE CAUSE,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11756.0,108877,4,0.18571428571428572,485,Dorchester,0.25,0.36363636363636365,0.8333333333333334,0,1,0,1,1,1,0,0,1,0,1,17
47,OTHER,1,YES,White,Med,PROBABLE CAUSE,INVESTIGATIVE,DISPUTE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11596.0,10148,2,0.32857142857142857,4035,OTHER,0.75,0.9090909090909091,0.6,0,1,0,0,0,1,0,0,1,0,1,15
48,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,OTHER,INVESTIGATE,HONDA,2002.0,GREY,DRIVER,MA,11756.0,103782,4,0.17142857142857143,485,Roxbury,0.75,0.4545454545454545,0.16666666666666669,0,1,0,0,0,1,0,0,1,0,1,8
49,OTHER,1,YES,White,Light,PROBABLE CAUSE,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,6620.0,102370,2,0.2571428571428571,506,East Boston,0.0,0.2727272727272727,0.23333333333333334,0,1,1,0,1,1,0,0,0,1,1,15
50,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8835.0,131218,3,0.17142857142857143,485,Dorchester,0.75,0.9090909090909091,0.9666666666666667,0,1,0,1,0,1,0,0,1,0,1,6
51,OTHER,1,YES,Black,Med,PROBABLE CAUSE,MOTOR VEHICLE VIOLATION,VAL,HONDA,2008.0,BLACK,DRIVER,MA,86199.0,55390,16,0.18571428571428572,485,OTHER,1.0,0.09090909090909091,0.7666666666666667,0,1,0,1,0,1,0,0,1,0,1,2
52,OTHER,1,YES,White,Light,PROBABLE CAUSE,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10402.0,11168,11,0.2571428571428571,OTHER,Roslindale,0.0,0.36363636363636365,0.23333333333333334,0,1,0,0,0,1,0,0,1,0,1,14
53,OTHER,1,YES,White,Light,REASONABLE SUSPICION,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8949.0,56151,1,0.2571428571428571,2800,Charlestown,0.0,0.9999999999999999,0.6333333333333333,0,1,0,0,0,1,0,0,1,0,1,18
54,OTHER,1,YES,Black,Brown,PROBABLE CAUSE,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10739.0,52976,16,0.2285714285714286,OTHER,Dorchester,0.25,0.2727272727272727,0.8666666666666667,0,1,0,1,1,1,0,0,1,0,1,1
55,OTHER,1,YES,White,Light,PROBABLE CAUSE,INVESTIGATIVE,PROSTITUTION,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,9724.0,116890,5,0.2571428571428571,1350,Dorchester,0.75,0.4545454545454545,0.4666666666666667,0,1,0,1,0,1,0,0,1,0,1,10
56,OTHER,1,YES,Black,Brown,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11689.0,52976,16,0.2285714285714286,OTHER,Roxbury,0.0,0.09090909090909091,0.1,0,1,0,1,1,1,0,0,1,0,1,1
57,OTHER,1,YES,White,Light,PROBABLE CAUSE,MOTOR VEHICLE VIOLATION,DISTURBANCE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11596.0,95135,2,0.2571428571428571,506,East Boston,0.75,0.0,0.9333333333333333,0,0,1,1,1,1,0,1,0,0,1,15
58,OTHER,1,YES,White,Med,REASONABLE SUSPICION,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11756.0,102951,4,0.32857142857142857,485,OTHER,0.5,0.4545454545454545,0.43333333333333335,0,1,0,1,1,1,0,0,1,0,1,17
59,OTHER,1,YES,White,Med,REASONABLE SUSPICION,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10251.0,98667,8,0.32857142857142857,2893,OTHER,0.75,0.6363636363636364,0.1,0,1,0,1,0,1,0,0,1,0,1,0
60,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,VAL,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11610.0,116947,3,0.18571428571428572,485,Roxbury,0.75,0.7272727272727273,0.4,0,1,0,1,0,1,0,0,1,0,1,6
61,OTHER,1,YES,White,Light,CONSENT SEARCH,RADIO CALL,B&E,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,7358.0,102384,11,0.2571428571428571,OTHER,Roslindale,0.75,0.09090909090909091,0.43333333333333335,0,1,0,1,0,1,0,0,1,0,1,14
62,OTHER,1,YES,White,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8940.0,OTHER,3,0.2571428571428571,485,Dorchester,0.0,0.0,0.4,0,0,0,1,0,1,0,0,1,0,1,14
63,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,INVESTIGATIVE,VAL,HONDA,2002.0,GREY,DRIVER,MA,10739.0,11247,16,0.18571428571428572,485,OTHER,0.0,0.5454545454545454,0.26666666666666666,0,1,1,1,1,1,0,0,1,0,1,11
64,OTHER,1,YES,Black,Med,PROBABLE CAUSE,MOTOR VEHICLE VIOLATION,VAL,HONDA,2002.0,GREY,DRIVER,MA,8311.0,11448,10,0.18571428571428572,OTHER,Hyde Park,0.25,0.4545454545454545,0.26666666666666666,0,1,0,1,1,0,1,0,1,1,1,11
65,OTHER,1,YES,White,Fair,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10548.0,86206,1,0.14285714285714285,543,Boston,0.0,0.36363636363636365,0.9999999999999999,0,0,0,1,0,1,0,1,0,0,1,5
66,OTHER,1,YES,White,Light,PROBABLE CAUSE,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11596.0,11697,2,0.2571428571428571,506,East Boston,0.75,0.7272727272727273,0.13333333333333333,0,1,1,0,1,1,0,0,0,1,1,15
67,OTHER,1,YES,Black,Med,PROBABLE CAUSE,MOTOR VEHICLE VIOLATION,VAL,HONDA,2002.0,BLACK,PASSENGER,MA,11689.0,99771,16,0.18571428571428572,OTHER,Roxbury,0.0,0.36363636363636365,0.8666666666666667,0,1,0,0,0,1,0,0,1,0,1,2
68,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,MV ACCIDENT,FORD,2000.0,RED,DRIVER,MA,10578.0,98656,3,0.18571428571428572,485,Dorchester,0.0,0.0,0.5333333333333333,0,1,1,1,1,1,0,0,1,1,1,19
69,OTHER,1,NO,Hispanic,Med,PROBABLE CAUSE,RADIO CALL,INVESTIGATE,HONDA,2000.0,GREEN,DRIVER,MA,10402.0,102383,11,0.1,OTHER,Roslindale,0.0,0.1818181818181818,0.43333333333333335,0,1,0,1,0,1,0,0,1,0,1,13
70,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8940.0,106718,3,0.18571428571428572,485,Roxbury,0.0,0.6363636363636364,0.8333333333333334,0,1,0,0,0,1,0,0,1,0,1,6
71,OTHER,1,NO,White,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11756.0,102685,8,0.17142857142857143,2893,Boston,0.0,0.6363636363636364,0.13333333333333333,0,1,0,1,0,1,0,0,1,0,1,0
72,OTHER,1,YES,Black,Med,CONSENT SEARCH,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11610.0,92675,3,0.18571428571428572,485,Dorchester,0.25,0.9999999999999999,0.0,0,1,0,1,1,1,0,0,1,0,1,6
